carimbo,container,cpu_pct,mem_uso,mem_pct
16:29:01,prontudigital-backend,118.91%,541.8MiB / 1GiB,52.91%
16:29:01,prontudigital-db,80.70%,136.4MiB / 512MiB,26.63%
16:29:10,prontudigital-backend,122.87%,541.6MiB / 1GiB,52.89%
16:29:10,prontudigital-db,94.35%,136.6MiB / 512MiB,26.69%
16:29:19,prontudigital-backend,95.56%,541.5MiB / 1GiB,52.88%
16:29:19,prontudigital-db,89.25%,136.7MiB / 512MiB,26.70%
16:29:28,prontudigital-backend,32.91%,542.5MiB / 1GiB,52.98%
16:29:28,prontudigital-db,56.20%,136.3MiB / 512MiB,26.62%
16:29:37,prontudigital-backend,92.71%,541.5MiB / 1GiB,52.89%
16:29:37,prontudigital-db,72.71%,136.4MiB / 512MiB,26.63%
16:29:45,prontudigital-backend,3.97%,541.5MiB / 1GiB,52.88%
16:29:45,prontudigital-db,34.42%,136.5MiB / 512MiB,26.66%
16:29:54,prontudigital-backend,6.03%,541.8MiB / 1GiB,52.91%
16:29:54,prontudigital-db,23.40%,137MiB / 512MiB,26.76%
16:30:02,prontudigital-backend,3.79%,541.8MiB / 1GiB,52.91%
16:30:02,prontudigital-db,2.68%,136.5MiB / 512MiB,26.65%
16:30:10,prontudigital-backend,23.73%,541.5MiB / 1GiB,52.88%
16:30:10,prontudigital-db,0.28%,136.2MiB / 512MiB,26.60%
16:30:19,prontudigital-backend,0.21%,541.5MiB / 1GiB,52.88%
16:30:19,prontudigital-db,0.05%,136.4MiB / 512MiB,26.64%
16:30:27,prontudigital-backend,3.95%,541.4MiB / 1GiB,52.87%
16:30:27,prontudigital-db,0.10%,136.2MiB / 512MiB,26.59%
16:30:35,prontudigital-backend,0.29%,541.4MiB / 1GiB,52.87%
16:30:35,prontudigital-db,0.01%,136.2MiB / 512MiB,26.60%
16:30:44,prontudigital-backend,0.23%,541.4MiB / 1GiB,52.87%
16:30:44,prontudigital-db,0.05%,136.2MiB / 512MiB,26.60%
