carimbo,container,cpu_pct,mem_uso,mem_pct
16:01:32,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:01:40,prontudigital-backend,0.18%,530.4MiB / 1GiB,51.79%
16:01:40,prontudigital-db,0.01%,137.9MiB / 512MiB,26.93%
16:01:48,prontudigital-backend,0.33%,530.4MiB / 1GiB,51.79%
16:01:48,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:01:56,prontudigital-backend,0.40%,530.4MiB / 1GiB,51.79%
16:01:56,prontudigital-db,2.55%,137.9MiB / 512MiB,26.93%
16:02:04,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.79%
16:02:04,prontudigital-db,0.02%,137.9MiB / 512MiB,26.94%
16:02:11,prontudigital-backend,0.30%,530.4MiB / 1GiB,51.80%
16:02:11,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:02:19,prontudigital-backend,0.45%,530.4MiB / 1GiB,51.79%
16:02:19,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:02:27,prontudigital-backend,0.26%,530.4MiB / 1GiB,51.79%
16:02:27,prontudigital-db,0.24%,137.9MiB / 512MiB,26.94%
16:02:35,prontudigital-backend,2.66%,532.6MiB / 1GiB,52.01%
16:02:35,prontudigital-db,2.87%,137.9MiB / 512MiB,26.94%
16:02:43,prontudigital-backend,0.50%,530.4MiB / 1GiB,51.79%
16:02:43,prontudigital-db,0.19%,138.2MiB / 512MiB,26.98%
16:02:51,prontudigital-backend,0.15%,530.3MiB / 1GiB,51.79%
16:02:51,prontudigital-db,0.03%,137.9MiB / 512MiB,26.94%
16:02:58,prontudigital-backend,0.23%,530.3MiB / 1GiB,51.79%
16:02:58,prontudigital-db,0.03%,137.9MiB / 512MiB,26.93%
16:03:04,prontudigital-backend,0.17%,530.3MiB / 1GiB,51.79%
16:03:04,prontudigital-db,0.05%,137.9MiB / 512MiB,26.94%
16:03:12,prontudigital-backend,0.13%,530.4MiB / 1GiB,51.80%
16:03:12,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:03:20,prontudigital-backend,0.37%,530.4MiB / 1GiB,51.79%
16:03:20,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:03:29,prontudigital-backend,0.26%,530.4MiB / 1GiB,51.79%
16:03:29,prontudigital-db,0.03%,137.9MiB / 512MiB,26.94%
16:03:38,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.79%
16:03:38,prontudigital-db,0.01%,137.9MiB / 512MiB,26.94%
16:03:46,prontudigital-backend,0.21%,530.4MiB / 1GiB,51.79%
16:03:46,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:03:53,prontudigital-backend,0.25%,530.3MiB / 1GiB,51.79%
16:03:53,prontudigital-db,0.02%,137.9MiB / 512MiB,26.94%
16:04:00,prontudigital-backend,0.22%,530.3MiB / 1GiB,51.79%
16:04:00,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:04:07,prontudigital-backend,0.33%,530.4MiB / 1GiB,51.80%
16:04:07,prontudigital-db,0.02%,137.9MiB / 512MiB,26.94%
16:04:15,prontudigital-backend,0.56%,530.4MiB / 1GiB,51.79%
16:04:15,prontudigital-db,0.01%,137.9MiB / 512MiB,26.94%
16:04:23,prontudigital-backend,0.35%,530.3MiB / 1GiB,51.79%
16:04:23,prontudigital-db,0.01%,137.9MiB / 512MiB,26.94%
16:04:31,prontudigital-backend,0.29%,530.3MiB / 1GiB,51.79%
16:04:31,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:04:39,prontudigital-backend,0.40%,530.4MiB / 1GiB,51.79%
16:04:39,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
